id,headline,url,img_src,level,media,domain
1,Crack Data Science Interviews: Essential Machine Learning Concepts,https://towardsdatascience.com/crack-data-science-interviews-essential-machine-learning-concepts-afd6a0a6d1aa,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/towards-data-science-logo.png,Beginner,Article,Analyze
2,A Gentle Introduction to Machine Learning Modeling Pipelines,https://machinelearningmastery.com/machine-learning-modeling-pipelines/,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/machine-learning-mastery.png,Beginner,Article,Model
3,Auto-Sklearn for Automated Machine Learning in Python,https://machinelearningmastery.com/auto-sklearn-for-automated-machine-learning-in-python/,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/machine-learning-mastery.png,Intermediate,Article,Model
4,Advanced NumPy: Master stride tricks with 25 illustrated exercises,https://towardsdatascience.com/advanced-numpy-master-stride-tricks-with-25-illustrated-exercises-923a9393ab20,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/towards-data-science-logo.png,Intermediate,Article,Analyze
5,Markov models and Markov chains explained in real life: probabilistic workout routine,https://towardsdatascience.com/markov-models-and-markov-chains-explained-in-real-life-probabilistic-workout-routine-65e47b5c9a73,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/towards-data-science-logo.png,Advanced,Article,Model
6,"Difference between Machine Learning, Data Science, AI, Deep Learning, and Statistics",https://www.datasciencecentral.com/profiles/blogs/difference-between-machine-learning-data-science-ai-deep-learning,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/data-science-central.png,Beginner,Article,Analyze
7,Data Scientist versus Data Engineer,https://www.datasciencecentral.com/profiles/blogs/data-scientist-versus-data-engineer,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/data-science-central.png,Beginner,Article,Analyze
8,6 Essential Skills Every Big Data Architect Needs,https://www.smartdatacollective.com/essential-skills-big-data-architect-needs/,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/towards-data-science-logo.png,Beginner,Article,Analyze
9,I trained a model. What is next?,https://medium.com/kaggle-blog/i-trained-a-model-what-is-next-d1ba1c560e26,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/kaggle.png,Intermediate,Article,Model
10,First-time Competitor to Kaggle Grandmaster Within a Year,https://medium.com/kaggle-blog/zero-to-grandmaster-in-a-year-a-winners-interview-with-limerobot-18ddb3a1aae1,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/kaggle.png,Beginner,Article,Analyze
11,"K-Means 8x faster, 27x lower error than Scikit-learn in 25 lines",https://www.kdnuggets.com/2021/01/k-means-faster-lower-error-scikit-learn.html,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/kdnuggets.png,Intermediate,Article,Model
12,"But what is a Neural Network? | Deep learning, chapter 1",https://youtu.be/aircAruvnKk,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/youtube.jpg,Advanced,Video,Model
