headline,url,img_src,level,media,domain
Crack Data Science Interviews: Essential Machine Learning Concepts,https://towardsdatascience.com/crack-data-science-interviews-essential-machine-learning-concepts-afd6a0a6d1aa,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/towards-data-science-logo.png,Intermediate,Article,Industry
A Gentle Introduction to Machine Learning Modeling Pipelines,https://machinelearningmastery.com/machine-learning-modeling-pipelines/,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/machine-learning-mastery.png,Beginner,Article,Deploy
Auto-Sklearn for Automated Machine Learning in Python,https://machinelearningmastery.com/auto-sklearn-for-automated-machine-learning-in-python/,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/machine-learning-mastery.png,Intermediate,Article,Model
Advanced NumPy: Master stride tricks with 25 illustrated exercises,https://towardsdatascience.com/advanced-numpy-master-stride-tricks-with-25-illustrated-exercises-923a9393ab20,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/towards-data-science-logo.png,Intermediate,Article,Analyze
Markov models and Markov chains explained in real life: probabilistic workout routine,https://towardsdatascience.com/markov-models-and-markov-chains-explained-in-real-life-probabilistic-workout-routine-65e47b5c9a73,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/towards-data-science-logo.png,Advanced,Article,Model
"Difference between Machine Learning, Data Science, AI, Deep Learning, and Statistics",https://www.datasciencecentral.com/profiles/blogs/difference-between-machine-learning-data-science-ai-deep-learning,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/data-science-central.png,Beginner,Article,Industry
Data Scientist versus Data Engineer,https://www.datasciencecentral.com/profiles/blogs/data-scientist-versus-data-engineer,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/data-science-central.png,Beginner,Article,Industry
How To Filter Pandas Dataframe By Values of Column?,https://cmdlinetips.com/2018/02/how-to-subset-pandas-dataframe-based-on-values-of-a-column/,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/no-product-image.png,Beginner,Article,Analyze
I trained a model. What is next?,https://medium.com/kaggle-blog/i-trained-a-model-what-is-next-d1ba1c560e26,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/kaggle.png,Intermediate,Article,Deploy
First-time Competitor to Kaggle Grandmaster Within a Year,https://medium.com/kaggle-blog/zero-to-grandmaster-in-a-year-a-winners-interview-with-limerobot-18ddb3a1aae1,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/kaggle.png,Advanced,Article,Industry
"K-Means 8x faster, 27x lower error than Scikit-learn in 25 lines",https://www.kdnuggets.com/2021/01/k-means-faster-lower-error-scikit-learn.html,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/kdnuggets.png,Intermediate,Article,Model
"But what is a Neural Network? | Deep learning, chapter 1",https://youtu.be/aircAruvnKk,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/youtube.jpg,Advanced,Video,Model
Null Hypothesis Significance Testing is Still Useful,https://www.kdnuggets.com/2021/01/null-hypothesis-significance-testing-useful.html,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/kdnuggets.png,Beginner,Article,Analyze
Introduction to Dimensionality Reduction for Machine Learning,https://machinelearningmastery.com/dimensionality-reduction-for-machine-learning/,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/machine-learning-mastery.png,Intermediate,Article,Model
"Principal Component Analysis (PCA), Step-by-Step",https://youtu.be/FgakZw6K1QQ,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/youtube.jpg,Intermediate,Video,Analyze
What is ML Ops?,https://blog.datatron.com/what-is-ml-ops/,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/datatron.png,Beginner,Article,Deploy
Exploratory data analysis in Python.,https://towardsdatascience.com/exploratory-data-analysis-in-python-c9a77dfa39ce,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/towards-data-science-logo.png,Beginner,Article,Analyze
10 Visualizations Every Data Scientist Should Know,https://towardsdatascience.com/10-viz-every-ds-should-know-4e4118f26fc3,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/towards-data-science-logo.png,Beginner,Article,Visualize
The Next Level of Data Visualization in Python,https://towardsdatascience.com/the-next-level-of-data-visualization-in-python-dd6e99039d5e,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/towards-data-science-logo.png,Intermediate,Article,Visualize
What to Learn to Become a Data Scientist in 2021,https://www.kdnuggets.com/2021/01/learn-become-data-scientist-2021.html,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/kdnuggets.png,Beginner,Article,Industry
a multitude of makeovers,http://www.storytellingwithdata.com/blog/2021/1/17/multitudes-of-makeovers,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/swd.png,Advanced,Article,Visualize
Small JavaScript library for density plots,https://flowingdata.com/2021/01/26/small-javascript-library-for-density-plots/,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/flowing-data.png,Beginner,Article,Visualize
ML Ops: Machine Learning as an Engineering Discipline,https://towardsdatascience.com/ml-ops-machine-learning-as-an-engineering-discipline-b86ca4874a3f,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/towards-data-science-logo.png,Advanced,Article,Deploy
Model Management with Rstudio,https://solutions.rstudio.com/model-management/overview/,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/rstudio.jpeg,Advanced,Article,Deploy
"Intro to Data Analysis / Visualization with Python, Matplotlib and Pandas",https://youtu.be/a9UrKTVEeZA,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/youtube.jpg,Beginner,Video,Visualize
Stopping A/B Tests: How Many Conversions Do I Need?,https://cxl.com/blog/stopping-ab-tests-how-many-conversions-do-i-need/,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/no-product-image.png,Beginner,Article,Deploy
Framework for Data Preparation Techniques in Machine Learning,https://machinelearningmastery.com/framework-for-data-preparation-for-machine-learning/,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/machine-learning-mastery.png,Intermediate,Article,Model
"What is Graph Theory, and Why Should You Care?",https://www.kdnuggets.com/2021/01/graph-theory-why-care.html,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/kdnuggets.png,Advanced,Article,Model
Baidu Research: 10 Technology Trends in 2021,https://www.kdnuggets.com/2021/01/top-10-technology-trends-2021.html,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/kdnuggets.png,Advanced,Article,Industry
How to use loc and iloc for Selecting Data in Pandas (with Python code!),https://www.analyticsvidhya.com/blog/2020/02/loc-iloc-pandas/?utm_source=LinkedIn&utm_medium=social-media&utm_campaign=intermediate-articles,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/analytics-vidhya.jpeg,Beginner,Article,Analyze
Demystifying the Mathematics Behind Convolutional Neural Networks (CNNs),https://www.analyticsvidhya.com/blog/2020/02/mathematics-behind-convolutional-neural-network/?utm_source=linkedin&utm_medium=AV%7Clink%7Chigh-performance-blog%7Cblogs%7C44218%7C0.375,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/analytics-vidhya.jpeg,Advanced,Article,Model
Difference Between Backpropagation and Stochastic Gradient Descent,https://machinelearningmastery.com/difference-between-backpropagation-and-stochastic-gradient-descent/,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/machine-learning-mastery.png,Advanced,Article,Model
Why you should pay off your technical debt for machine learning in 2021,https://algorithmia.com/blog/why-you-should-pay-off-your-technical-debt-for-machine-learning-in-2021?utm_campaign=IC-2012-2021-ML-Trends&utm_content=153158753&utm_medium=social&utm_source=linkedin&hss_channel=lcp-2917764,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/algorithmia.jpeg,Intermediate,Article,Industry
Bias and Variance in Machine Learning – A Fantastic Guide for Beginners!,https://www.analyticsvidhya.com/blog/2020/08/bias-and-variance-tradeoff-machine-learning/?utm_source=linkedin&utm_medium=AV|link|high-performance-blog|blogs|44218|0.375,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/analytics-vidhya.jpeg,Beginner,Article,Analyze
Does Data Science Make You Happy?,https://www.kdnuggets.com/2021/02/data-science-make-you-happy.html?,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/kdnuggets.png,Beginner,Article,Industry
A Beginner’s Guide to matplotlib for Data Visualization and Exploration in Python,https://www.analyticsvidhya.com/blog/2020/02/beginner-guide-matplotlib-data-visualization-exploration-python/?utm_source=linkedin&utm_medium=AV%7Clink%7Chigh-performance-blog%7Cblogs%7C44102%7C0.375,https://raw.githubusercontent.com/nhemerson/feed-curator/main/img/analytics-vidhya.jpeg,Beginner,Article,Visualize
